iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
BHS,North America,Bahamas,2021-06-30,12586.0,0.0,25.571,246.0,0.0,0.286,31709.64,0.0,64.426,619.782,0.0,0.72,1.29,,,,,,,,,,,,,,,,,,,,,,,1193.0,,,,,3006.0,393.0,0.099,44.91,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHS,North America,Bahamas,2021-07-01,12735.0,149.0,46.857,246.0,0.0,0.286,32085.036,375.396,118.054,619.782,0.0,0.72,1.29,,,,,,,,,,,,,,,,,,,,,,,1069.0,,,,,2693.0,352.0,0.089,51.39,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHS,North America,Bahamas,2021-07-02,12735.0,0.0,38.286,246.0,0.0,0.143,32085.036,0.0,96.458,619.782,0.0,0.36,1.28,,,,,,,,,,,,,,,,,,95992.0,59731.0,36261.0,,,945.0,24.18,15.05,9.14,,2381.0,310.0,0.078,51.39,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHS,North America,Bahamas,2021-07-03,12735.0,0.0,38.286,246.0,0.0,0.143,32085.036,0.0,96.458,619.782,0.0,0.36,1.28,,,,,,,,,,,,,,,,,,,,,,,739.0,,,,,1862.0,240.0,0.06,51.39,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHS,North America,Bahamas,2021-07-04,12735.0,0.0,38.286,246.0,0.0,0.143,32085.036,0.0,96.458,619.782,0.0,0.36,1.28,,,,,,,,,,,,,,,,,,,,,,,658.0,,,,,1658.0,212.0,0.053,51.39,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHS,North America,Bahamas,2021-07-05,12808.0,73.0,48.714,246.0,0.0,0.143,32268.955,183.919,122.733,619.782,0.0,0.36,1.28,,,,,,,,,,,,,,,,,,,,,,,576.0,,,,,1451.0,184.0,0.046,51.39,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHS,North America,Bahamas,2021-07-06,12889.0,81.0,43.286,251.0,5.0,0.714,32473.029,204.074,109.056,632.379,12.597,1.8,1.28,,,,,,,,,,,,,,,,,,,,,,,495.0,,,,,1247.0,156.0,0.039,51.39,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHS,North America,Bahamas,2021-07-07,12965.0,76.0,54.143,252.0,1.0,0.857,32664.507,191.477,136.41,634.898,2.519,2.16,1.28,,,,,,,,,,,,,,,,,,,,,,,413.0,,,,,1041.0,128.0,0.032,51.39,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHS,North America,Bahamas,2021-07-08,13024.0,59.0,41.286,252.0,0.0,0.857,32813.153,148.647,104.017,634.898,0.0,2.16,1.27,,,,,,,,,,,,,,,,,,,,,,,332.0,,,,,836.0,100.0,0.025,51.39,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
BHS,North America,Bahamas,2021-07-09,13024.0,0.0,41.286,252.0,0.0,0.857,32813.153,0.0,104.017,634.898,0.0,2.16,1.27,,,,,,,,,,,,,,,,,,,,,,,250.0,,,,,630.0,72.0,0.018,51.39,396914.0,39.497,34.3,8.996,5.2,27717.847,,235.954,13.17,3.1,20.4,,2.9,73.92,0.814,,,,
